YEAR,MONTH_NUM,Flights_with_delay,Minutes_of_delay,Total_IFR_Movements,Avg_delay_per_delayed_flight,Avg_delay_per_total_flight,Monthly_Pax,Delay_per_1000_pax
2018,1,2628,1295.0,5255,0.4927701674277017,0.2464319695528068,,
2018,2,2397,1070.0,4798,0.4463913224864413,0.2230095873280533,,
2018,3,2823,1423.0,5639,0.504073680481757,0.2523497073949282,,
2018,4,2953,1212.0,5920,0.4104300711141212,0.2047297297297297,,
2018,5,3074,1218.0,6149,0.3962264150943396,0.1980809887786632,3245094.0,0.38
2018,6,3279,1117.0,6562,0.34065263799939,0.1702224931423346,784855.0,1.42
2018,7,3422,1081.0,6838,0.3158971361776739,0.1580871599883006,845217.0,1.28
2018,8,3347,885.0,6696,0.2644158948311921,0.132168458781362,848632.0,1.04
2018,9,2976,1139.0,5951,0.3827284946236559,0.19139640396572,,
2018,10,3190,722.0,6372,0.2263322884012539,0.113308223477715,,
2018,11,2856,886.0,5700,0.3102240896358543,0.155438596491228,,
2018,12,2768,1133.0,5534,0.4093208092485549,0.20473436935309,,
2019,1,2782,1605.0,5567,0.5769230769230769,0.2883060894557212,,
2019,2,2628,1505.0,5252,0.5726788432267884,0.2865575019040365,,
2019,3,3038,1055.0,6077,0.347267939433838,0.1736053974000329,,
2019,4,3255,1534.0,6511,0.4712749615975422,0.2356012901244048,,
2019,5,3424,1497.0,6855,0.4372079439252336,0.2183807439824945,3601416.0,0.42
2019,6,3486,1264.0,6968,0.3625932300631095,0.1814006888633754,983699.0,1.28
2019,7,3676,1109.0,7357,0.3016866158868335,0.150740791083322,1071009.0,1.04
2019,8,3461,1103.0,6910,0.318694019069633,0.1596237337192474,1060457.0,1.04
2019,9,3638,1037.0,7273,0.2850467289719626,0.1425821531692561,,
2019,10,3295,869.0,6577,0.2637329286798179,0.1321271096244488,,
2019,11,2939,1140.0,5877,0.3878870364069411,0.193976518631955,,
2019,12,2937,1432.0,5866,0.487572352740892,0.2441186498465734,,
2024,1,2627,1455.0,5251,0.5538637228778074,0.2770900780803656,,
2024,2,2370,687.0,4742,0.289873417721519,0.1448755799240826,,
2024,3,2872,1389.0,5748,0.4836350974930362,0.2416492693110647,,
2024,4,3763,2058.0,7532,0.5469040659048632,0.2732342007434944,,
2024,5,4059,2411.0,8114,0.5939886671593989,0.2971407443924082,3973976.0,0.61
2024,6,4062,2257.0,8121,0.5556376169374693,0.2779214382465214,1071289.0,2.11
2024,7,4111,1256.0,8215,0.3055217708586719,0.1528910529519172,1116315.0,1.13
2024,8,4037,2013.0,8087,0.4986376021798365,0.2489180165698034,1120116.0,1.8
2024,9,3940,2220.0,7872,0.5634517766497462,0.2820121951219512,,
2024,10,3931,1571.0,7863,0.3996438565250572,0.1997965153249395,,
2024,11,2800,1188.0,5597,0.4242857142857142,0.2122565660175094,,
2024,12,2876,1316.0,5755,0.4575799721835883,0.2286707211120764,,
2025,1,2681,1276.0,5365,0.4759418127564341,0.2378378378378378,,
2025,2,2535,0.0,5073,0.0,0.0,,
